Datetime,Open,High,Low,Close,Volume
2023-12-26 09:30:00-05:00,375.0,375.57000732421875,374.57000732421875,375.22698974609375,670081
2023-12-26 09:35:00-05:00,375.2149963378906,376.20001220703125,375.1700134277344,375.7218017578125,271073
2023-12-26 09:40:00-05:00,375.7900085449219,376.94000244140625,375.75,376.29998779296875,346740
2023-12-26 09:45:00-05:00,376.32000732421875,376.7300109863281,375.9909973144531,376.0400085449219,174402
2023-12-26 09:50:00-05:00,376.0799865722656,376.0899963378906,375.489990234375,375.6001892089844,263688
2023-12-26 09:55:00-05:00,375.6099853515625,375.760009765625,375.17498779296875,375.4200134277344,184974
2023-12-26 10:00:00-05:00,375.3999938964844,375.4419860839844,375.0400085449219,375.24810791015625,186173
2023-12-26 10:05:00-05:00,375.2349853515625,375.5299987792969,375.0,375.1199951171875,164595
2023-12-26 10:10:00-05:00,375.1400146484375,375.4200134277344,375.0647888183594,375.35650634765625,170986
2023-12-26 10:15:00-05:00,375.3900146484375,375.4700012207031,375.2001037597656,375.32000732421875,100860
2023-12-26 10:20:00-05:00,375.31500244140625,375.4100036621094,375.0,375.1700134277344,122614
2023-12-26 10:25:00-05:00,375.1700134277344,375.3900146484375,374.9599914550781,375.1300048828125,118901
2023-12-26 10:30:00-05:00,375.1700134277344,375.3699951171875,375.0,375.239990234375,122167
2023-12-26 10:35:00-05:00,375.2200012207031,375.45001220703125,375.1099853515625,375.45001220703125,137993
2023-12-26 10:40:00-05:00,375.44000244140625,375.5255126953125,375.0799865722656,375.0799865722656,122166
2023-12-26 10:45:00-05:00,375.07000732421875,375.2900085449219,375.010009765625,375.1499938964844,171645
2023-12-26 10:50:00-05:00,375.1600036621094,375.17999267578125,374.6199951171875,374.72869873046875,174097
2023-12-26 10:55:00-05:00,374.7300109863281,374.8999938964844,374.6962890625,374.8721008300781,97206
2023-12-26 11:00:00-05:00,374.8699951171875,374.8699951171875,374.4200134277344,374.5299987792969,172054
2023-12-26 11:05:00-05:00,374.5249938964844,374.7099914550781,374.44000244140625,374.58709716796875,99914
2023-12-26 11:10:00-05:00,374.6099853515625,374.8299865722656,374.5199890136719,374.7799987792969,82464
2023-12-26 11:15:00-05:00,374.7699890136719,374.8316955566406,374.3800048828125,374.3949890136719,94804
2023-12-26 11:20:00-05:00,374.3949890136719,374.3999938964844,374.07000732421875,374.07000732421875,117198
2023-12-26 11:25:00-05:00,374.0700988769531,374.4700012207031,373.9800109863281,374.4599914550781,105508
2023-12-26 11:30:00-05:00,374.45001220703125,374.6300048828125,374.4081115722656,374.6000061035156,71155
2023-12-26 11:35:00-05:00,374.61749267578125,374.6199951171875,374.4599914550781,374.489990234375,62898
2023-12-26 11:40:00-05:00,374.5,374.6499938964844,374.3500061035156,374.42999267578125,61066
2023-12-26 11:45:00-05:00,374.4200134277344,374.614990234375,374.2799987792969,374.3299865722656,71553
2023-12-26 11:50:00-05:00,374.33270263671875,374.4700012207031,374.25,374.3699951171875,75374
2023-12-26 11:55:00-05:00,374.3800048828125,374.3800048828125,374.07000732421875,374.17999267578125,110267
2023-12-26 12:00:00-05:00,374.17999267578125,374.2666015625,373.9800109863281,374.1400146484375,89270
2023-12-26 12:05:00-05:00,374.17999267578125,374.17999267578125,374.0199890136719,374.0899963378906,64625
2023-12-26 12:10:00-05:00,374.0899963378906,374.239990234375,374.07000732421875,374.20001220703125,75366
2023-12-26 12:15:00-05:00,374.20721435546875,374.260009765625,374.0899963378906,374.20709228515625,107340
